,topic,tweet,tweets_cleaned
730,soda,I'm writing those fuckin' carpenter's kits up! And soda bottle we accept that challenge. t.co/CYMhDofftj,im writing fuckin carpenter kit soda bottle accept challenge tcocymhdofftj
731,soda,"Casa Azul lanza Tequila Soda, un coctel enlatado - t.co/joHSKY5ebV",casa azul lanza tequila soda un coctel enlatado tcojohskyebv
742,soda,Stop drinking soda &amp; see what happens 😊 Thank me Later,stop drinking soda amp see happens thank later
753,soda,@Full_of_Soda this is so ugly,fullofsoda ugly
765,soda,"@Killer_Draco YOU COULD SIDE WITH THE COMPANY!?
AND ALL YOU GET OUT OF DESTROYING A TOWN IS SODA!?",killerdraco could side company get destroying town soda
766,soda,"@IamKerriAnne @WhismanSucks After I saw the label, I realized that I’ve had it before. I think I liked it. I like a citrus soda.",iamkerrianne whismansucks saw label realized think liked like citrus soda
771,soda,@meDicen_Soda t.co/4arIrOFcG2,medicensoda tcoarirofcg
774,soda,@bin_undercut jakdkdlflfk yo recién ahora estoy empezando con la vida adulta así q me lo tomo con soda,binundercut jakdkdlflfk yo recién ahora estoy empezando con la vida adulta así q lo tomo con soda
776,soda,Correct. My kids make fun of me if I buy name brand soda.,correct kid make fun buy name brand soda
780,soda,"It's kind of amazing that the generic cola in the soda aisle is sold completely out, the brand name cola is not moving at all, and yet some Coca-Cola executive somewhere is still like ""$9 a twelve-pack, it will catch on, just wait"". Does no one get fired at these places",kind amazing generic cola soda aisle sold completely brand name cola moving yet cocacola executive somewhere still like twelvepack catch wait one get fired place
788,soda,"@_mrn_soda_ 「ウワサのサンド求む引用ツイートキャンペーン」へのご応募ありがとうございます✨

抽選結果は動画の最後に発表📣
「ウワサの６個セット」が当たるチャンス❗

期間中毎日応募できます‼

▼詳細
t.co/Pl790txGBM t.co/NLai3kc8Na",mrnsoda ウワサのサンド求む引用ツイートキャンペーン へのご応募ありがとうございます 抽選結果は動画の最後に発表 ウワサの６個セット が当たるチャンス 期間中毎日応募できます 詳細 tcopltxgbm tconlaikcna
791,soda,@lorieliebig Soda is GOOD,lorieliebig soda good
802,soda,Deciding not to drink soda is one of the best decisions I made in my life,deciding drink soda one best decision made life
810,soda,@eatinglasvegas How have I never heard of this place? Do they carry Yogurt Soda? Because then I'd have another place not to buy it. 😉 t.co/jg4pemzNhI,eatinglasvegas never heard place carry yogurt soda id another place buy tcojgpemznhi
813,soda,I FORGOT WE WERE IN DISNEY SPRINGS . I ORDERED A SODA FOEGETTING HOW MUCH THEY CHARGE HELP,forgot disney spring ordered soda foegetting much charge help
